Autenticacion,,,Autenticacion,1,Autenticacion,,,,,,Autenticacion,Process,F2,,,,
Base,,,Base,1,Base,,,,,,Base,Process,F2,,,,
Dummy,,,Dummy,1,Dummy,,,,,,Dummy,Process,F2,,,,
Dummy 2,,,Dummy 2,1,Dummy2,,,,,,Dummy 2,Process,F2,,,,
Dummy Comp,,,Dummy Comp,1,DummyComp,,,,,,Dummy Comp,Process,F2,,,,
Enrutamiento Llamadas,,,Enrutamiento Llamadas,1,EnrutamientoLlamadas,,,,,,Enrutamiento Llamadas,Process,F2,,,,
Facturación Adicional,,,Facturación Adicional,1,FacturacionAdicional,,,,,,Facturación Adicional,Process,F2,,,,
Facturacion Adicional Multi,,,Facturacion Adicional Multi,1,FacturacionAdicionalMulti,,,,,,Facturacion Adicional Multi,Process,F2,,,,
Facturacion Adicional Prorrateo,,,Facturacion Adicional Prorrateo,1,FacturacionAdicionalProrrateo,,,,,,Facturacion Adicional Prorrateo,Process,F2,,,,
Facturación Alta,,,Facturación Alta,1,FacturacionAlta,,,,,,Facturación Alta,Process,F2,,,,
Facturación Baja,,,Facturación Baja,1,FacturacionBaja,,,,,,Facturación Baja,Process,F2,,,,
Facturación Cambio Cuenta,,,Facturación Cambio Cuenta,1,FacturacionCambioCuenta,,,,,,Facturación Cambio Cuenta,Process,F2,,,,
Facturación Cambio MSISDN,,,Facturación Cambio MSISDN,1,FacturacionCambioMSISDN,,,,,,Facturación Cambio MSISDN,Process,F2,,,,
