PRODUCT,Accesorio generico,,,PRODUCT,Accesorio generico Scdr,,,,,,,,PROVIDE,PROVIDE,,F2,,
PRODUCT,1,,,PRODUCT,1 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,38,,,PRODUCT,38 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,152,,,PRODUCT,152 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,156,,,PRODUCT,156 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,466,,,PRODUCT,466 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1029,,,PRODUCT,1029 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1102,,,PRODUCT,1102 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1287,,,PRODUCT,1287 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1405,,,PRODUCT,1405 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1455,,,PRODUCT,1455 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1537,,,PRODUCT,1537 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1543,,,PRODUCT,1543 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1546,,,PRODUCT,1546 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1895,,,PRODUCT,1895 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1899,,,PRODUCT,1899 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1947,,,PRODUCT,1947 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,1959,,,PRODUCT,1959 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2040,,,PRODUCT,2040 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2076,,,PRODUCT,2076 Scdr,,,,,,,,"PROVIDE,UPDATE,CEASE","PROVIDE,UPDATE,CEASE",,F2,,
PRODUCT,2077,,,PRODUCT,2077 Scdr,,,,,,,,"PROVIDE,UPDATE,CEASE","PROVIDE,UPDATE,CEASE",,F2,,
PRODUCT,2078,,,PRODUCT,2078 Scdr,,,,,,,,"PROVIDE,UPDATE,CEASE","PROVIDE,UPDATE,CEASE",,F2,,
PRODUCT,2085,,,PRODUCT,2085 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2086,,,PRODUCT,2086 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2100,,,PRODUCT,2100 Scdr,,,,,,,,"PROVIDE,UPDATE,CEASE","PROVIDE,UPDATE,CEASE",,F2,,
PRODUCT,2228,,,PRODUCT,2228 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2261,,,PRODUCT,2261 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2270,,,PRODUCT,2270 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2274,,,PRODUCT,2274 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2275,,,PRODUCT,2275 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2276,,,PRODUCT,2276 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2321,,,PRODUCT,2321 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2322,,,PRODUCT,2322 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2324,,,PRODUCT,2324 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2355,,,PRODUCT,2355 Scdr,,,,,,,,"PROVIDE,UPDATE,CEASE","PROVIDE,UPDATE,CEASE",,F2,,
PRODUCT,2372,,,PRODUCT,2372 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2420,,,PRODUCT,2420 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2421,,,PRODUCT,2421 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2434,,,PRODUCT,2434 Scdr,,,,,,,,"PROVIDE,UPDATE,CEASE","PROVIDE,UPDATE,CEASE",,F2,,
PRODUCT,2528,,,PRODUCT,2528 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2566,,,PRODUCT,2566 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2598,,,PRODUCT,2598 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2639,,,PRODUCT,2639 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
PRODUCT,2649,,,PRODUCT,2649 Scdr,,,,,,,,"PROVIDE,CEASE","PROVIDE,CEASE",,F2,,
